source_key,target_key,ref_type
adams_ew:1991,savage_cw-ehrlich:1991,depends_on
adams_ew:1994,humphreys_p:1994,depends_on
adams_ew:1998a,jennings_rae:1994,further_ref
adams_f-aizawa:2009,symons_j-calvo:2009,depends_on
adams_f-beighley:2011,garvey_j:2011,depends_on
adams_f-etal:1992,dinsmore:1992,depends_on
adams_f:1991,mclaughlin_bp:1991,depends_on
adams_f:1997,holmstroemhintikka-tuomela:1997,depends_on
adams_f:2002,shope:1999,further_ref
adams_f:2003,stich_sp-warfield:2003,depends_on
adams_f:2004,floridi:2004,depends_on
adams_f:2007a,timmons-etal:2007,depends_on
adams_f:2010,allo:2010,further_ref
adams_f:2010a,aguilar_jh-buckareff:2010,depends_on
adams_f:2011,bernecker:2009,further_ref
adams_f:2013,auxier-hahn:2013,depends_on
adams_f:2016,floridi:2016,depends_on
adams_f:2019,colombo_m-etal:2019,depends_on
adams_f:2020,lerner_ad-etal:2020,depends_on
adams_g-resnik:1997,burstein_jc-leacock:1997,depends_on
adams_gp:1924,adams_gp-loewenberg:1923,depends_on
adams_gp:1928,adams_gp-etal:1928,depends_on
adams_gp:1929,adams_gp-etal:1929,depends_on
adams_gp:1930,adams_gp-etal:1930,depends_on
adams_gp:1932,adams_gp-etal:1932,depends_on
adams_gp:1932a,adams_gp-etal:1932a,depends_on
adams_gp:1934,adams_gp-etal:1934,depends_on
adams_gp:1935,adams_gp-etal:1935,depends_on
adams_ja:2001,wooldridge:1999,further_ref
adams_jc:2010,janack:2010,depends_on
adams_jl:1970,pennock_jr-chapman:1970,depends_on
adams_m:2020,mandle-robertscady:2020,depends_on
adams_mm:1980,leff_g:1976,further_ref
adams_mm:1982a,kretzmann-etal:1982,depends_on
adams_mm:1985a,frank_wa-etzkorn:1985,depends_on
adams_mm:1986a,audi_r-wainwright:1986,depends_on
adams_mm:1988a,morris_tv:1988,depends_on
adams_mm:1991a,phil-perspectives:1991,depends_on
adams_mm:1992c,clark_kj:1992,depends_on
adams_mm:1993a,stump_e:1993,depends_on
adams_mm:1993b,stump_e-flint:1993,depends_on
adams_mm:1996a,phillips_dz:1996,depends_on
adams_mm:1997,davis_st:1997,depends_on
adams_mm:1998a,aertsen-speer:1998,depends_on
adams_mm:2001a,adams_mm:2002,further_ref
adams_mm:2002,adams_mm:2001a,further_ref
adams_mm:2007,machamer-wolters:2007,depends_on
adams_mm:2009,adams_mm:2006,further_ref
adams_mm:2009,rea_mc:2009,depends_on
adams_mm:2013a,pasnau:2013,depends_on
adams_mm:2016,buckareff-nagasawa:2016,depends_on
adams_mm:2016a,bergmann_m-brower:2016,depends_on
adams_mm:2019,bain_d-etal:2020,depends_on
adams_n:2005,marmion_d-hines:2005,depends_on
adams_pc:2014,grimshaw_ma:2014,depends_on
adams_rm:1971a,adams_rm:1987,further_ref
adams_rm:1973a,adams_rm:1987,further_ref
adams_rm:1973a,outka-reeder:1973,depends_on
adams_rm:1974,loux:1979,depends_on
adams_rm:1975,stich_sp:1975,depends_on
adams_rm:1977,adams_rm:1987,further_ref
