id,series_key,name_latex,name_unicode
959,blackwell_readings_in_philosophy,Blackwell Readings in Philosophy,Blackwell Readings in Philosophy
960,biblioteca_di_testi_e_studi,Biblioteca di Testi e Studi,Biblioteca di Testi e Studi
961,l_avventura_interiore,L'avventura interiore,L'avventura interiore
962,current_controversies_in_philosophy,Current Controversies in Philosophy,Current Controversies in Philosophy
963,african_american_philosophy_and_the_african_diaspora,African American Philosophy and the African Diaspora,African American Philosophy and the African Diaspora
964,illuminations_theory_religion,Illuminations: Theory & Religion,Illuminations: Theory Religion
965,studies_in_philosophy_outstanding_dissertations,Studies in Philosophy.~Outstanding Dissertations,Studies in Philosophy. Outstanding Dissertations
966,pansophia_testi_e_studi_sulla_modernit_a,Pansophia.~Testi e studi sulla modernit{\`a},Pansophia. Testi e studi sulla modernità
967,ashgate_epistemology_and_mind_series,Ashgate Epistemology and Mind Series,Ashgate Epistemology and Mind Series
968,conf_e_rences_de_la_sorbonne,Conf{\'e}rences de la Sorbonne,Conférences de la Sorbonne
969,biblioth_e_que_r_e_publicaine,Biblioth{\'e}que r{\'e}publicaine,Bibliothéque républicaine
970,philosophie_et_langage,Philosophie et langage,Philosophie et langage
971,methodology_and_history_in_anthropology,Methodology and History in Anthropology,Methodology and History in Anthropology
972,fragments,Fragments,Fragments
973,essentiel,Essentiel,Essentiel
974,mediaeval_philosophical_texts_in_translation,Mediaeval Philosophical Texts in Translation,Mediaeval Philosophical Texts in Translation
975,gesammelte_werke_zweite_abteilung_vorlesungsnachschriften,"Gesammelte Werke, Zweite Abteilung: Vorlesungsnachschriften","Gesammelte Werke, Zweite Abteilung: Vorlesungsnachschriften"
976,sitzungsberichte_der_jenaischen_gesellschaft_f_u_r_medizin_und_naturwissenschaft_f_u_das_jahr_1879,"Sitzungsberichte der Jenaischen Gesellschaft f{\""u}r Medizin und Naturwissenschaft f{\""u} das Jahr 1879",Sitzungsberichte der Jenaischen Gesellschaft für Medizin und Naturwissenschaft fü das Jahr 1879
977,oxford_readings_in_philosophical_theology,Oxford Readings in Philosophical Theology,Oxford Readings in Philosophical Theology
978,questions_contemporaines,Questions contemporaines,Questions contemporaines
979,id_e_es,Id{\'e}es,Idées
980,quaestiones,Quaestiones,Quaestiones
981,sciences_techniques_civilisations_du_moyen_age_a_l_aube_des_lumi_e_res,Sciences techniques civilisations du Moyen Age {\`a} l'aube des Lumi{\`e}res,Sciences techniques civilisations du Moyen Age à l'aube des Lumières
982,springerbriefs_in_ethics,SpringerBriefs in Ethics,SpringerBriefs in Ethics
983,artistarium_supplementa,Artistarium.~Supplementa,Artistarium. Supplementa
985,dao_companions_to_chinese_philosophy,Dao Companions to Chinese Philosophy,Dao Companions to Chinese Philosophy
986,l_a_ge_des_lumi_e_res,L'{\^a}ge des Lumi{\'e}res,L'âge des Lumiéres
987,oxford_studies_in_comparative_syntax,Oxford Studies in Comparative Syntax,Oxford Studies in Comparative Syntax
988,musique,Musique,Musique
990,nomina,Nomina,Nomina
991,action_sociale,Action sociale,Action sociale
992,library_of_ethics_and_applied_philosophy,Library of Ethics and Applied Philosophy,Library of Ethics and Applied Philosophy
993,mathesis,Mathesis,Mathesis
994,technicities,Technicities,Technicities
995,american_philosophical_quarterly_library_of_philosophy,American Philosophical Quarterly library of philosophy,American Philosophical Quarterly library of philosophy
996,libre_pens_e_e_et_litt_e_rature_clandestine,Libre pens{\'e}e et litt{\'e}rature clandestine,Libre pensée et littérature clandestine
997,le_corrispondenze_letterarie_scientifiche_ed_erudite_dal_rinascimento_all_et_a_moderna_subsidia,"Le corrispondenze letterarie, scientifiche ed erudite dal Rinascimento all'et{\`a} moderna: Subsidia","Le corrispondenze letterarie, scientifiche ed erudite dal Rinascimento all'età moderna: Subsidia"
998,universit_e_de_tous_les_savoirs,Universit{\'e} de tous les savoirs,Université de tous les savoirs
999,filosofie_analtiche_labont,Filosofie Analtiche -- LaBont,Filosofie Analtiche – LaBont
1000,sprache_und_denken_finnische_beitr_a_ge_zur_philosophie_und_sprachwissenschaft,"Sprache und Denken.~Finnische Beitr{\""a}ge zur Philosophie und Sprachwissenschaft",Sprache und Denken. Finnische Beiträge zur Philosophie und Sprachwissenschaft
1001,the_new_synthese_historical_library,The New Synthese Historical Library,The New Synthese Historical Library
1002,saggi_e_testi,Saggi e Testi,Saggi e Testi
1003,cambridge_handbooks_in_anthropology,Cambridge Handbooks in Anthropology,Cambridge Handbooks in Anthropology
1004,philosophy_neuroscience_psychology_program_washington_university_archive_of_papers_and_technical_reports,"Philosophy-Neuroscience-Psychology Program, Washington University.~Archive of papers and technical reports","Philosophy-Neuroscience-Psychology Program, Washington University. Archive of papers and technical reports"
1005,contemporary_debates_in_philosophy,Contemporary Debates in Philosophy,Contemporary Debates in Philosophy
1006,past_masters,Past Masters,Past Masters
1007,hautes_e_tudes,Hautes {\'e}tudes,Hautes études
1008,textes_classiques,Textes classiques,Textes classiques
1009,suny_series_feminist_philosophy,"SUNY series, Feminist Philosophy","SUNY series, Feminist Philosophy"
1010,the_annual_balzan_lecture,The Annual Balzan Lecture,The Annual Balzan Lecture
1011,horizons_am_e_ricains,Horizons am{\'e}ricains,Horizons américains
