id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
145688,book,sainsbury:2005,,,2005,,Reference without Referents,Reference without Referents,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/0199241805.001.0001,,,false,,sainsbury,,,1:reference
145689,article,sainsbury:2005a,,,2005,,Pleonastic Explanations,Pleonastic Explanations,,,,mind,114,453,97--111,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:objects_of_propositional_attitudes;3:propositions
145690,incollection,sainsbury:2005b,,,2005,,Names in Free Logical Truth Theory,Names in Free Logical Truth Theory,,,,,,,66--83,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:reference;2:names
145691,incollection,sainsbury:2005c,,,2005,,Meeting the Hare in her Doubles: Causal Belief and General Belief,Meeting the Hare in her Doubles: Causal Belief and General Belief,,,,,,,77--94,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:causation
145692,incollection,sainsbury:2006,,,2006,,Understanding as Immersion,Understanding as Immersion,,,,,,,246--262,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:explanation;2:understanding
145693,incollection,sainsbury:2006a,,,2006,,Austerity and Openness,Austerity and Openness,,,,,,,1--13,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:metaphysics;2:realism
145694,article,sainsbury:2006b,,,2006,,Review of \citet{soames:2003},Review of Soames (2003),,,,philosophical-studies,129,3,637--643,,,,,,,,,,,,,,,,,10.1007/s11098-006-0015-3,,,false,,sainsbury,,,1:history_of_philosophy
145695,incollection,sainsbury:2006c,,,2006,,The Essence of Reference,The Essence of Reference,,,,,,,393--421,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:reference
145696,incollection,sainsbury:2007,,,2007,,A Puzzle About How Things Look,A Puzzle About How Things Look,,,,,,,7--18,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:perception;2:appearances
145697,incollection,sainsbury:2008,,,2008,,Philosophical Logic,Philosophical Logic,,,,,,,347--381,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:logic;2:philosophy_of_logic
145698,article,sainsbury:2008a,,,2008,,Intensional Transitives and Presuppositions,Intensional Transitives and Presuppositions,,,,critica-revista-hispanoamericana-de-filosofia,40,120,129--139,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:pragmatics;2:presupposition
145699,book,sainsbury:2009,,,2009,,Paradoxes,Paradoxes,,,,,,,,,,Cambridge,,,cambridge-university-press,,3,First edition: \citet{sainsbury:1988a},First edition: Sainsbury (1988),,,,,,,,,,false,,sainsbury,,,1:argumentation;2:paradoxes
145700,book,sainsbury:2009a,,,2009,,Fiction and Fictionalism,Fiction and Fictionalism,,,,,,,,,,London,,,routledge-chapman-hall,,,,,,,,,,,,,,false,,sainsbury,,,1:modality;2:modal_realism;3:modal_fictionalism
145701,incollection,sainsbury:2009b,,,2009,,Language and Meaning,Language and Meaning,,,,,,,165--176,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:meaning
145702,article,sainsbury:2010,,,2010,,Paderewski Variations,Paderewski Variations,,,,dialectica,64,4,483--502,,,,,,,,,,,Papers from the GAP.7,Papers from the GAP.7,,,,,10.1111/j.1746-8361.2010.01240.x,,,false,,sainsbury,,spitzley,1:representation;2:fregean_sense
145703,incollection,sainsbury:2010a,,,2010,,Intentionality without Exotica,Intentionality without Exotica,,,,,,,300--318,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,2:intentionality
145704,incollection,sainsbury:2011,,,2011,,English Speakers should Use ``I'' to Refer to Themselves,English Speakers should Use “I” to Refer to Themselves,,,,,,,246--260,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:metaphysics;2:perspectivalism;3:first_personalism
145705,incollection,sainsbury:2012,,,2012,,A Very Large Fly in the Ointment: Davidsonian Truth Theory Contextualized,A Very Large Fly in the Ointment: Davidsonian Truth Theory Contextualized,,,,,,,223--258,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:representation;2:content
